stock_code,expiry_date,type,strike_price,volume,turnover,open_interest,update_time,stock_close_price,last_done,prev_close,open,high,low,implied_volatility
NVDA.US,2025-09-26,call,50.00,0,0,42,2025-09-26,178.190,127.30,127.30,0,0,0,9.648
NVDA.US,2025-09-26,call,55.00,6,73515.00,6,2025-09-26,178.190,122.76,121.86,121.35,122.76,121.35,9.922
NVDA.US,2025-09-26,call,60.00,6,70682.00,10,2025-09-26,178.190,117.55,117.60,117.93,117.93,117.55,9.375
NVDA.US,2025-09-26,call,65.00,13,145730.00,6,2025-09-26,178.190,112.10,113.16,112.10,112.10,112.10,9.063
NVDA.US,2025-09-26,call,70.00,21,224989.00,31,2025-09-26,178.190,107.20,107.68,105.89,107.20,105.89,5.000
NVDA.US,2025-09-26,call,75.00,2,20253.00,14,2025-09-26,178.190,100.94,103.30,101.59,101.59,100.94,8.945
NVDA.US,2025-09-26,call,80.00,3,29174.00,8,2025-09-26,178.190,97.55,99.48,96.64,97.55,96.64,8.516
NVDA.US,2025-09-26,call,85.00,4,36867.00,52,2025-09-26,178.190,90.95,94.53,92.86,92.86,90.95,8.086
NVDA.US,2025-09-26,call,90.00,38,331222.00,141,2025-09-26,178.190,87.31,87.57,87.41,87.41,86.00,7.969
NVDA.US,2025-09-26,call,95.00,199,1615694.00,208,2025-09-26,178.190,81.50,84.13,82.87,82.87,80.98,7.256
NVDA.US,2025-09-26,call,100.00,57,437711.00,233,2025-09-26,178.190,77.96,77.25,77.44,77.96,76.03,9.629
NVDA.US,2025-09-26,call,105.00,68,492021.00,101,2025-09-26,178.190,73.51,72.42,73.20,73.51,71.20,8.887
NVDA.US,2025-09-26,call,110.00,149,1003346.00,218,2025-09-26,178.190,68.00,67.72,67.47,68.00,65.58,7.647
NVDA.US,2025-09-26,call,115.00,64,401184.00,131,2025-09-26,178.190,62.85,62.42,63.04,63.25,60.25,5.801
NVDA.US,2025-09-26,call,120.00,209,1192690.00,372,2025-09-26,178.190,57.77,57.55,57.85,57.85,55.87,5.469
NVDA.US,2025-09-26,call,125.00,138,719803.00,217,2025-09-26,178.190,52.41,52.50,53.70,53.70,50.80,4.648
NVDA.US,2025-09-26,call,130.00,752,3517041.00,1112,2025-09-26,178.190,47.55,47.69,48.37,48.40,45.15,4.912
NVDA.US,2025-09-26,call,135.00,352,1462886.00,663,2025-09-26,178.190,42.66,42.50,42.02,43.38,40.00,4.033
NVDA.US,2025-09-26,call,140.00,711,2606620.00,1618,2025-09-26,178.190,38.25,37.70,37.25,38.55,35.45,3.457
NVDA.US,2025-09-26,call,145.00,464,1468533.00,576,2025-09-26,178.190,32.60,32.65,33.52,33.52,30.40,3.379
NVDA.US,2025-09-26,call,150.00,1789,4868074.00,19157,2025-09-26,178.190,28.03,27.50,27.55,28.35,25.15,2.070
NVDA.US,2025-09-26,call,152.50,33,80132.00,64,2025-09-26,178.190,25.67,27.10,24.03,25.67,23.45,2.603
NVDA.US,2025-09-26,call,155.00,6364,13646425.00,6665,2025-09-26,178.190,23.00,22.70,23.16,23.55,20.00,1.641
NVDA.US,2025-09-26,call,157.50,206,401048.00,285,2025-09-26,178.190,20.06,20.30,19.65,21.05,17.64,1.250
NVDA.US,2025-09-26,call,160.00,845,1423353.00,3070,2025-09-26,178.190,18.12,17.67,17.15,18.40,15.25,1.831
NVDA.US,2025-09-26,call,162.50,599,853832.00,1092,2025-09-26,178.190,15.60,15.25,15.15,15.90,12.65,1.289
NVDA.US,2025-09-26,call,165.00,2144,2579635.00,3653,2025-09-26,178.190,13.15,12.74,12.25,13.45,10.00,1.074
NVDA.US,2025-09-26,call,167.50,1576,1480039.00,3110,2025-09-26,178.190,10.75,10.25,10.10,10.75,7.65,1.060
NVDA.US,2025-09-26,call,170.00,10410,7472660.00,11339,2025-09-26,178.190,8.20,7.79,8.18,8.54,5.20,0.547
NVDA.US,2025-09-26,call,172.50,27596,13134027.00,25674,2025-09-26,178.190,5.60,5.35,5.66,6.16,2.76,0.430
NVDA.US,2025-09-26,call,175.00,137639,27855059.00,41630,2025-09-26,178.190,3.15,3.21,3.30,3.70,0.92,0.264
NVDA.US,2025-09-26,call,177.50,379681,14675744.00,51444,2025-09-26,178.190,0.68,1.48,1.49,1.67,0.10,0.100
NVDA.US,2025-09-26,call,180.00,262979,2548129.00,110084,2025-09-26,178.190,0.01,0.51,0.45,0.50,0.01,0.176
NVDA.US,2025-09-26,call,182.50,85337,319431.00,85320,2025-09-26,178.190,0.01,0.16,0.12,0.13,0.01,0.361
NVDA.US,2025-09-26,call,185.00,47640,78711.00,87503,2025-09-26,178.190,0.01,0.06,0.03,0.05,0.01,0.537
NVDA.US,2025-09-26,call,187.50,56846,59050.00,79871,2025-09-26,178.190,0.01,0.03,0.03,0.03,0.01,0.703
NVDA.US,2025-09-26,call,190.00,24912,31119.00,69472,2025-09-26,178.190,0.01,0.02,0.02,0.02,0.01,0.859
NVDA.US,2025-09-26,call,192.50,1299,1299.00,37866,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.016
NVDA.US,2025-09-26,call,195.00,1873,1873.00,35804,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.172
NVDA.US,2025-09-26,call,197.50,645,645.00,15324,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.309
NVDA.US,2025-09-26,call,200.00,2816,2816.00,33022,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.445
NVDA.US,2025-09-26,call,202.50,1678,1678.00,12611,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.602
NVDA.US,2025-09-26,call,205.00,180,180.00,12924,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.719
NVDA.US,2025-09-26,call,210.00,84,84.00,17303,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,1.992
NVDA.US,2025-09-26,call,215.00,4,4.00,11461,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,2.227
NVDA.US,2025-09-26,call,220.00,72,72.00,6336,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,2.500
NVDA.US,2025-09-26,call,225.00,1,1.00,5819,2025-09-26,178.190,0.01,0.01,0.01,0.01,0.01,2.734
NVDA.US,2025-09-26,call,230.00,0,0,4772,2025-09-26,178.190,0.01,0.01,0,0,0,1.133
NVDA.US,2025-09-26,call,235.00,0,0,2962,2025-09-26,178.190,0.01,0.01,0,0,0,1.602
NVDA.US,2025-09-26,call,240.00,0,0,3514,2025-09-26,178.190,0.01,0.01,0,0,0,1.699
